name,rss_url,domain,category,tier,authority,reason
SC Magazine,https://www.scmagazine.com/feed/,scmagazine.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Cyber Defense Magazine,https://www.cyberdefensemagazine.com/feed/,cyberdefensemagazine.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
JD Supra - Broadband,https://www.jdsupra.com/topics/broadband/rss/,jdsupra.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
JD Supra - Net Neutrality,https://www.jdsupra.com/topics/net-neutrality/rss/,jdsupra.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
JD Supra - Media Law,https://www.jdsupra.com/topics/media-law/rss/,jdsupra.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Competitive Enterprise Inst,https://cei.org/feed/,cei.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Heritage Foundation Tech,https://www.heritage.org/technology/rss,heritage.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Mercatus Center Tech,https://www.mercatus.org/rss/technology,mercatus.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Bipartisan Policy Center,https://bipartisanpolicy.org/feed/,bipartisanpolicy.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
R Street Institute,https://www.rstreet.org/feed/,rstreet.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Government Accountability Office,https://www.gao.gov/rss/reports.xml,gao.gov,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Anandtech,https://www.anandtech.com/rss/,anandtech.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
StateScoop,https://statescoop.com/feed/,statescoop.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
EdScoop,https://edscoop.com/feed/,edscoop.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
CyberScoop,https://cyberscoop.com/feed/,cyberscoop.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
FedScoop,https://fedscoop.com/feed/,fedscoop.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
5G Americas,https://www.5gamericas.org/feed/,5gamericas.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
GSMA News,https://www.gsma.com/newsroom/feed/,gsma.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
WIA Tower,https://wia.org/feed/,wia.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
VentureBeat AI,https://venturebeat.com/category/ai/feed/,venturebeat.com,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
AI Now Institute,https://ainowinstitute.org/feed/,ainowinstitute.org,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Partnership on AI,https://partnershiponai.org/feed/,partnershiponai.org,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Brookings AI,https://www.brookings.edu/topic/artificial-intelligence/feed/,brookings.edu,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Stanford HAI,https://hai.stanford.edu/news/rss.xml,hai.stanford.edu,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Future of Life Institute,https://futureoflife.org/feed/,futureoflife.org,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
AI Policy Weekly,https://aipolicyweekly.substack.com/feed,aipolicyweekly.substack.com,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Algorithm Watch,https://algorithmwatch.org/en/feed/,algorithmwatch.org,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Government AI,https://www.govloop.com/topic/artificial-intelligence/feed/,govloop.com,AI/ML,4,76.0,Tier 4 AI/ML — retained for resilient pipeline (RSS/official complements API)
Consumer Reports Policy,https://advocacy.consumerreports.org/feed/,advocacy.consumerreports.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
INCOMPAS,https://www.incompas.org/news/feed/,incompas.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
USTelecom Blog,https://www.ustelecom.org/feed/,ustelecom.org,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
NCTA Internet,https://www.ncta.com/feed,ncta.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Wired Business,https://www.wired.com/feed/category/business/latest/rss,wired.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
The Information,https://www.theinformation.com/feed,theinformation.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Wall Street Journal Tech,https://feeds.a.dj.com/rss/RSSWSJD.xml,feeds.a.dj.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
MeriTalk,https://www.meritalk.com/feed/,meritalk.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
GovLoop,https://www.govloop.com/feed/,govloop.com,Policy/Legal,3,80.0,Tier 3 Policy/Legal — retained for resilient pipeline (RSS/official complements API)
Current - Public Media,https://current.org/feed/,current.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
RadioInfo,https://www.radioinfo.com.au/rss.xml,radioinfo.com.au,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
RAIN News - Audio/Radio,https://rainnews.com/feed/,rainnews.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Jacobin - Media,https://jacobin.com/feed/,jacobin.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Columbia Journalism Review,https://www.cjr.org/feed,cjr.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Nieman Lab,https://www.niemanlab.org/feed/,niemanlab.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Poynter,https://www.poynter.org/feed/,poynter.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
PR Newswire - Telecom,https://www.prnewswire.com/rss/news-releases-list.rss?tagABCSIC=5700000000,prnewswire.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Business Wire - Telecom,https://feed.businesswire.com/rss/home/?rss=G1&category=Telecommunications,feed.businesswire.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Globe Newswire - Telecom,https://www.globenewswire.com/RssFeed/industry/9621-Telecommunications,globenewswire.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
RCR Wireless 5G,https://www.rcrwireless.com/category/5g/feed,rcrwireless.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
FierceWireless 5G,https://www.fiercewireless.com/rss/5g-xml,fiercewireless.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Light Reading 5G,https://www.lightreading.com/5g/rss.xml,lightreading.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Ericsson Blog,https://www.ericsson.com/en/blog/rss,ericsson.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
T-Mobile Newsroom,https://www.t-mobile.com/news/rss.xml,t-mobile.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
AT&T Newsroom,https://about.att.com/innovation/rss,about.att.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
INCOMPAS,https://www.incompas.org/feed/,incompas.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
ACA Connects,https://acaconnects.org/feed/,acaconnects.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
WTA Telecom,https://www.wtaonline.org/feed/,wtaonline.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
NATE Tower Association,https://www.natehome.com/feed/,natehome.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
AP - Science Tech,https://rsshub.app/apnews/topics/science,rsshub.app,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Financial Times - Tech,https://www.ft.com/technology?format=rss,ft.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
The Guardian - Tech,https://www.theguardian.com/technology/rss,theguardian.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
BBC - Tech,https://feeds.bbci.co.uk/news/technology/rss.xml,feeds.bbci.co.uk,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Politico - Media,https://www.politico.com/rss/media.xml,politico.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Politico - Congress,https://www.politico.com/rss/congress.xml,politico.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Ars Technica - Policy,https://feeds.arstechnica.com/arstechnica/tech-policy,feeds.arstechnica.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
The Verge - Policy,https://www.theverge.com/rss/policy/index.xml,theverge.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
TechCrunch - Government,https://techcrunch.com/tag/government/feed/,techcrunch.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Pew Research - Tech,https://www.pewresearch.org/internet/feed/,pewresearch.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Harvard Berkman Center,https://cyber.harvard.edu/feeds/news,cyber.harvard.edu,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Georgetown Law Tech,https://www.law.georgetown.edu/news/feed/,law.georgetown.edu,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
CA - Los Angeles Times,https://www.latimes.com/rss2.0.xml,latimes.com,Regional,6,50.0,major-metro regional daily — geographic value
CA - San Jose Mercury News,https://www.mercurynews.com/feed/,mercurynews.com,Regional,6,50.0,major-metro regional daily — geographic value
CA - San Diego Union-Tribune,https://www.sandiegouniontribune.com/rss/,sandiegouniontribune.com,Regional,6,50.0,major-metro regional daily — geographic value
CO - Denver Post,https://www.denverpost.com/feed/,denverpost.com,Regional,6,50.0,major-metro regional daily — geographic value
FL - Orlando Sentinel,https://www.orlandosentinel.com/arcio/rss/,orlandosentinel.com,Regional,6,50.0,major-metro regional daily — geographic value
FL - South Florida Sun-Sentinel,https://www.sun-sentinel.com/arcio/rss/,sun-sentinel.com,Regional,6,50.0,major-metro regional daily — geographic value
IL - Chicago Tribune,https://www.chicagotribune.com/arcio/rss/,chicagotribune.com,Regional,6,50.0,major-metro regional daily — geographic value
LA - Times-Picayune New Orleans,https://www.nola.com/search/?f=rss&t=article&l=50,nola.com,Regional,6,50.0,major-metro regional daily — geographic value
MO - St. Louis Post-Dispatch,https://www.stltoday.com/search/?f=rss&t=article&l=50,stltoday.com,Regional,6,50.0,major-metro regional daily — geographic value
NY - NY Daily News,https://www.nydailynews.com/arcio/rss/,nydailynews.com,Regional,6,50.0,major-metro regional daily — geographic value
NY - Buffalo News,https://buffalonews.com/search/?f=rss&t=article&l=50,buffalonews.com,Regional,6,50.0,major-metro regional daily — geographic value
OH - Columbus Dispatch,https://www.dispatch.com/search/?f=rss&t=article&l=50,dispatch.com,Regional,6,50.0,major-metro regional daily — geographic value
SC - Post and Courier Charleston,https://www.postandcourier.com/feed/,postandcourier.com,Regional,6,50.0,major-metro regional daily — geographic value
TV - WGN Chicago,https://wgntv.com/feed/,wgntv.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WFAA Dallas,https://www.wfaa.com/feeds/syndication/rss/news,wfaa.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KUSA Denver,https://www.9news.com/feeds/syndication/rss/news,9news.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KHOU Houston,https://www.khou.com/feeds/syndication/rss/news,khou.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WTHR Indianapolis,https://www.wthr.com/rss,wthr.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WDSU New Orleans,https://www.wdsu.com/rss,wdsu.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WNBC New York,https://www.nbcnewyork.com/news/local/feed/,nbcnewyork.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KOIN Portland,https://www.koin.com/feed/,koin.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KCRA Sacramento,https://www.kcra.com/rss,kcra.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KSAT San Antonio,https://www.ksat.com/rss,ksat.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KGO San Francisco,https://abc7news.com/feed/,abc7news.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - KARE Minneapolis,https://www.kare11.com/feeds/syndication/rss/news,kare11.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WESH Orlando,https://www.wesh.com/rss,wesh.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WCNC Charlotte,https://www.wcnc.com/feeds/syndication/rss/news,wcnc.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TV - WAVY Norfolk,https://www.wavy.com/feed/,wavy.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio - WAMU Washington DC,https://wamu.org/feed/news,wamu.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio - WNYC New York,https://www.wnyc.org/feed/,wnyc.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio - WBUR Boston,https://www.wbur.org/rss/,wbur.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio - WDET Detroit,https://wdet.org/feed/,wdet.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio - WPLN Nashville,https://wpln.org/feed/,wpln.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
