source_name,rss_url,domain,category,tier,tier_label,authority,reachability,already_in_docuaction,reason
CNN Tech,https://rss.cnn.com/rss/cnn_tech.rss,rss.cnn.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
NPR Technology,https://feeds.npr.org/1019/rss.xml,feeds.npr.org,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
NPR Business,https://feeds.npr.org/1006/rss.xml,feeds.npr.org,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
CNBC Tech,https://www.cnbc.com/id/19854910/device/rss/rss.html,cnbc.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
CNBC Telecom,https://www.cnbc.com/id/10000108/device/rss/rss.html,cnbc.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
Multichannel News,https://www.nexttv.com/rss/multichannel,nexttv.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Broadcasting & Cable,https://www.nexttv.com/rss/broadcasting-cable,nexttv.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Communications Daily,https://communicationsdaily.com/feed/,communicationsdaily.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Oped News Telecom,https://www.opednews.com/populum/rss_telecom.php,opednews.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Protocol,https://www.protocol.com/feeds/feed.rss,protocol.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Morning Consult Tech,https://morningconsult.com/feed/,morningconsult.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Federal Computer Week,https://fcw.com/rss/rss.ashx,fcw.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Telecom Ramblings,https://www.telecomramblings.com/feed/,telecomramblings.com,General,8,Tier 8 Unknown/Low Value,40,active,True,duplicate coverage (already in DocuAction)
IP Watch,https://www.ip-watch.org/feed/,ip-watch.org,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Satellite Today,https://www.satellitetoday.com/feed/,satellitetoday.com,General,8,Tier 8 Unknown/Low Value,40,active,True,duplicate coverage (already in DocuAction)
Via Satellite,https://www.satellitetoday.com/via-satellite/feed/,satellitetoday.com,General,8,Tier 8 Unknown/Low Value,40,dead,True,dead/unreachable feed
Space News,https://spacenews.com/feed/,spacenews.com,General,8,Tier 8 Unknown/Low Value,40,active,True,duplicate coverage (already in DocuAction)
MacNewsWorld,https://www.macnewsworld.com/rss-feed/,macnewsworld.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Computerworld,https://www.computerworld.com/index.rss,computerworld.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
InfoWorld,https://www.infoworld.com/index.rss,infoworld.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
CSO Online,https://www.csoonline.com/index.rss,csoonline.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
IT World Canada,https://www.itworldcanada.com/blog/feed,itworldcanada.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Hack Read,https://www.hackread.com/feed/,hackread.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Just Security,https://www.justsecurity.org/feed/,justsecurity.org,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
JD Supra Telecom,https://www.jdsupra.com/topics/telecommunications/rss/,jdsupra.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Mondaq Telecom,https://www.mondaq.com/rss/telecommunications/,mondaq.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
IAPP News,https://iapp.org/news/rss/,iapp.org,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Free Press,https://freepress.net/rss.xml,freepress.net,General,8,Tier 8 Unknown/Low Value,40,dead,True,dead/unreachable feed
FTC News,https://www.ftc.gov/feeds/press-release-rss.xml,ftc.gov,General,8,Tier 8 Unknown/Low Value,40,dead,True,dead/unreachable feed
DOJ Press,https://www.justice.gov/feeds/opa/justice-news.xml,justice.gov,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
FTC Business,https://www.ftc.gov/feeds/business-guidance.xml,ftc.gov,General,8,Tier 8 Unknown/Low Value,40,dead,True,dead/unreachable feed
NTIA,https://www.ntia.gov/rss.xml,ntia.gov,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
FCC Watch,https://fccwatch.com/feed/,fccwatch.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Communications Lawyer,https://communicationslawyer.net/feed/,communicationslawyer.net,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Reason Tech,https://reason.com/tag/technology/feed/,reason.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
The American Prospect,https://prospect.org/feeds/rss/,prospect.org,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
The Nation,https://www.thenation.com/subject/tech/feed/,thenation.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
Slate Tech,https://slate.com/technology.rss,slate.com,General,8,Tier 8 Unknown/Low Value,40,dead,False,dead/unreachable feed
FCC - All Recent Releases,https://www.fcc.gov/rss/releases,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Commissioner Statements,https://www.fcc.gov/rss/commissioner-statements,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Commissioner Speeches,https://www.fcc.gov/rss/speeches,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Orders,https://www.fcc.gov/rss/orders,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Public Notices,https://www.fcc.gov/rss/public-notices,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Notices of Proposed Rules,https://www.fcc.gov/rss/nprm,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Reports,https://www.fcc.gov/rss/reports,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Enforcement Bureau,https://www.fcc.gov/rss/enforcement-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Media Bureau,https://www.fcc.gov/rss/media-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Wireless Bureau,https://www.fcc.gov/rss/wireless-telecommunications-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Wireline Bureau,https://www.fcc.gov/rss/wireline-competition-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Consumer Affairs Bureau,https://www.fcc.gov/rss/consumer-governmental-affairs-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Space Bureau,https://www.fcc.gov/rss/space-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Public Safety Bureau,https://www.fcc.gov/rss/public-safety-homeland-security-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Office of Engineering,https://www.fcc.gov/rss/office-engineering-technology,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Office of Economics,https://www.fcc.gov/rss/office-economics-analytics,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - General Counsel,https://www.fcc.gov/rss/office-general-counsel,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Inspector General,https://www.fcc.gov/rss/office-inspector-general,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Broadcast Actions,https://www.fcc.gov/rss/broadcast-actions,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Broadcast Applications,https://www.fcc.gov/rss/broadcast-applications,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Notices of Liability,https://www.fcc.gov/rss/notices-apparent-liability,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Fact Sheets,https://www.fcc.gov/rss/fact-sheets,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - Court Filings,https://www.fcc.gov/rss/court-filings,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC - International Bureau,https://www.fcc.gov/rss/international-bureau,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
Government Accountability Office,https://www.gao.gov/rss/reports.xml,gao.gov,Government,1,Tier 1 FCC/Government,95,active,True,duplicate coverage (already in DocuAction)
Senate Commerce Committee,https://www.commerce.senate.gov/rss/feeds/?type=news,commerce.senate.gov,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
House Energy Commerce Comm,https://energycommerce.house.gov/rss.xml,energycommerce.house.gov,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
Congressional Research Service,https://www.everycrsreport.com/feeds/all.rss,everycrsreport.com,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
Nextgov - IT,https://www.nextgov.com/rss/technology/,nextgov.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
CTIA Blog,https://api.ctia.org/news/feed/,api.ctia.org,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
FCC Wireless Bureau,https://www.fcc.gov/wireless-bureau/rss,fcc.gov,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
NTIA Spectrum,https://www.ntia.gov/category/spectrum/feed,ntia.gov,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
NIST AI,https://www.nist.gov/artificial-intelligence/rss.xml,nist.gov,AI/ML,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
Center for AI Safety,https://www.safe.ai/feed,safe.ai,AI/ML,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
The Markup AI,https://themarkup.org/series/automated-influence/feed/,themarkup.org,AI/ML,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
FCW AI,https://fcw.com/artificial-intelligence/rss,fcw.com,AI/ML,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
Nextgov AI,https://www.nextgov.com/artificial-intelligence/rss,nextgov.com,AI/ML,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
Defense One AI,https://www.defenseone.com/topic/artificial-intelligence/rss/,defenseone.com,AI/ML,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
Open Technology Institute,https://www.newamerica.org/oti/feed/,newamerica.org,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
USTelecom Blog,https://www.ustelecom.org/feed/,ustelecom.org,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,active,True,duplicate coverage (already in DocuAction)
Multichannel News,https://www.nexttv.com/rss/multichannel-news,nexttv.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
Wired Business,https://www.wired.com/feed/category/business/latest/rss,wired.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,active,True,duplicate coverage (already in DocuAction)
Recode Vox,https://www.vox.com/recode/rss/index.xml,vox.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
Business Insider Tech,https://feeds.businessinsider.com/custom/tech,feeds.businessinsider.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
Wall Street Journal Tech,https://feeds.a.dj.com/rss/RSSWSJD.xml,feeds.a.dj.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,active,True,duplicate coverage (already in DocuAction)
TechTarget Networking,https://www.techtarget.com/rss/SearchNetworking-News.xml,techtarget.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
TechTarget Telecom,https://www.techtarget.com/rss/SearchTelecom-News.xml,techtarget.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
TechTarget Security,https://www.techtarget.com/rss/SearchSecurity-News.xml,techtarget.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
SearchEnterpriseAI,https://www.techtarget.com/rss/SearchEnterpriseAI-News.xml,techtarget.com,Policy/Legal,3,Tier 3 Telecom/Broadband/Wireless Trade,80,dead,False,dead/unreachable feed
Current - Public Media,https://current.org/feed/,current.org,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,active,True,duplicate coverage (already in DocuAction)
RAIN News - Audio/Radio,https://rainnews.com/feed/,rainnews.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
Jacobin - Media,https://jacobin.com/feed/,jacobin.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
Poynter,https://www.poynter.org/feed/,poynter.org,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
MediaPost,https://www.mediapost.com/rss/,mediapost.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,True,dead/unreachable feed
PR Newswire - Telecom,https://www.prnewswire.com/rss/news-releases-list.rss?tagABCSIC=5700000000,prnewswire.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
RCR Wireless 5G,https://www.rcrwireless.com/category/5g/feed,rcrwireless.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
FierceWireless 5G,https://www.fiercewireless.com/rss/5g-xml,fiercewireless.com,Major News/Wire,2,Tier 2 National Media,92,blocked,True,duplicate coverage (already in DocuAction)
Light Reading 5G,https://www.lightreading.com/5g/rss.xml,lightreading.com,Major News/Wire,2,Tier 2 National Media,92,blocked,True,duplicate coverage (already in DocuAction)
Nokia Bell Labs Blog,https://www.bell-labs.com/institute/feed/,bell-labs.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Qualcomm Blog,https://www.qualcomm.com/news/blog/rss,qualcomm.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Verizon News,https://www.verizon.com/about/news/rss,verizon.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Comcast Newsroom,https://corporate.comcast.com/news-information/news-feed/rss,corporate.comcast.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Charter Communications,https://corporate.charter.com/newsroom/rss,corporate.charter.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
CTIA Wireless,https://www.ctia.org/rss/,ctia.org,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
NCTA Cable,https://www.ncta.com/rss.xml,ncta.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
NTCA Rural Broadband,https://www.ntca.org/feed/,ntca.org,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
WISPA Wireless ISP,https://www.wispa.org/feed/,wispa.org,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Reuters - Media,https://feeds.reuters.com/reuters/mediaNews,feeds.reuters.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Bloomberg - Telecom,https://feeds.bloomberg.com/industries/TelecommunicationsServices.rss,feeds.bloomberg.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Wall Street Journal - Media,https://feeds.content.dowjones.io/public/rss/mw_media,feeds.content.dowjones.io,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
The Guardian - Tech,https://www.theguardian.com/technology/rss,theguardian.com,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Politico - Media,https://www.politico.com/rss/media.xml,politico.com,Major News/Wire,2,Tier 2 National Media,92,blocked,True,duplicate coverage (already in DocuAction)
Politico - Congress,https://www.politico.com/rss/congress.xml,politico.com,Major News/Wire,2,Tier 2 National Media,92,blocked,True,duplicate coverage (already in DocuAction)
Ars Technica - Policy,https://feeds.arstechnica.com/arstechnica/tech-policy,feeds.arstechnica.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
Ars Technica - Telecom,https://feeds.arstechnica.com/arstechnica/telecom,feeds.arstechnica.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
The Verge - Policy,https://www.theverge.com/rss/policy/index.xml,theverge.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
TechCrunch - Government,https://techcrunch.com/tag/government/feed/,techcrunch.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
Axios - Media Trends,https://api.axios.com/feed/axios/media-trends,api.axios.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Axios - Technology,https://api.axios.com/feed/axios/technology,api.axios.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Axios - Login,https://api.axios.com/feed/axios/login,api.axios.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Pew Research - Tech,https://www.pewresearch.org/internet/feed/,pewresearch.org,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Stanford Internet Observatory,https://stacks.stanford.edu/feed,stacks.stanford.edu,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Duke Law Tech,https://law.duke.edu/news/rss/,law.duke.edu,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
Yale Law - Tech,https://law.yale.edu/rss/news,law.yale.edu,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
George Washington Law,https://www.law.gwu.edu/news/rss,law.gwu.edu,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
American University Law,https://www.wcl.american.edu/impact/rss/,wcl.american.edu,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
